time,humidity,prediction,scoring_id,scoring_timestamp
8466,24,93.48073595,d259458e4b759ae66dce820ba685cd82-1621,2022-08-09 07:30:12.401
8472,24,93.47465998,d259458e4b759ae66dce820ba685cd82-1622,2022-08-09 07:30:12.401
8479,24,93.46757134,d259458e4b759ae66dce820ba685cd82-1623,2022-08-09 07:30:12.401
8488,24,93.45845738,d259458e4b759ae66dce820ba685cd82-1624,2022-08-09 07:30:12.401
8495,24,93.45136874,d259458e4b759ae66dce820ba685cd82-1625,2022-08-09 07:30:12.401
8502,24,93.44428011,d259458e4b759ae66dce820ba685cd82-1626,2022-08-09 07:30:12.401
8511,23,94.0405716,d259458e4b759ae66dce820ba685cd82-1627,2022-08-09 07:30:12.401
8520,23,94.03145764,d259458e4b759ae66dce820ba685cd82-1628,2022-08-09 07:30:12.401
8529,23,94.02234368,d259458e4b759ae66dce820ba685cd82-1629,2022-08-09 07:30:12.401
8533,23,94.01829303,d259458e4b759ae66dce820ba685cd82-1630,2022-08-09 07:30:12.401
8542,23,94.00917907,d259458e4b759ae66dce820ba685cd82-1631,2022-08-09 07:30:12.401
8552,23,93.99905245,d259458e4b759ae66dce820ba685cd82-1632,2022-08-09 07:30:12.401
8556,23,93.9950018,d259458e4b759ae66dce820ba685cd82-1633,2022-08-09 07:30:12.401
8562,23,93.98892582,d259458e4b759ae66dce820ba685cd82-1634,2022-08-09 07:30:12.401
8569,23,93.98183719,d259458e4b759ae66dce820ba685cd82-1635,2022-08-09 07:30:12.401
8576,24,93.3693431,d259458e4b759ae66dce820ba685cd82-1636,2022-08-09 07:30:12.401
8582,24,93.36326713,d259458e4b759ae66dce820ba685cd82-1637,2022-08-09 07:30:12.401
8589,24,93.35617849,d259458e4b759ae66dce820ba685cd82-1638,2022-08-09 07:30:12.401
8601,24,93.34402654,d259458e4b759ae66dce820ba685cd82-1639,2022-08-09 07:30:12.401
8607,24,93.33795057,d259458e4b759ae66dce820ba685cd82-1640,2022-08-09 07:30:12.401
8614,24,93.33086193,d259458e4b759ae66dce820ba685cd82-1641,2022-08-09 07:30:12.401
8621,24,93.3237733,d259458e4b759ae66dce820ba685cd82-1642,2022-08-09 07:30:12.401
8630,24,93.31465933,d259458e4b759ae66dce820ba685cd82-1643,2022-08-09 07:30:12.401
8634,24,93.31060869,d259458e4b759ae66dce820ba685cd82-1644,2022-08-09 07:30:12.401
8643,24,93.30149472,d259458e4b759ae66dce820ba685cd82-1645,2022-08-09 07:30:12.401
8650,24,93.29440609,d259458e4b759ae66dce820ba685cd82-1646,2022-08-09 07:30:12.401
8659,24,93.28529213,d259458e4b759ae66dce820ba685cd82-1647,2022-08-09 07:30:12.401
8663,24,93.28124148,d259458e4b759ae66dce820ba685cd82-1648,2022-08-09 07:30:12.401
8670,24,93.27415284,d259458e4b759ae66dce820ba685cd82-1649,2022-08-09 07:30:12.401
8679,24,93.26503888,d259458e4b759ae66dce820ba685cd82-1650,2022-08-09 07:30:12.401
8685,25,92.65355746,d259458e4b759ae66dce820ba685cd82-1651,2022-08-09 07:30:12.401
